Episode,Success Rate,Average Arrival time,std_at,Collision Rate,Timeout Rate,Trajectory Efficiency,std_te
100,100.00,9.67,0.11,0.00,0.00,0.9332,0.0042
100,0.00,nan,nan,0.00,0.00,nan,nan
200,100.00,9.85,0.08,0.00,0.00,0.9332,0.0038
200,0.00,nan,nan,0.00,0.00,nan,nan
300,100.00,9.97,0.08,0.00,0.00,0.9332,0.0039
300,0.00,nan,nan,0.00,0.00,nan,nan
400,100.00,10.04,0.08,0.00,0.00,0.9316,0.0034
400,0.00,nan,nan,0.00,0.00,nan,nan
500,100.00,10.07,0.07,0.00,0.00,0.9327,0.0033
500,0.00,nan,nan,0.00,0.00,nan,nan
600,100.00,10.08,0.07,0.00,0.00,0.9323,0.0036
600,0.00,nan,nan,0.00,0.00,nan,nan
