Episode,Success Rate,Average Arrival time,std_at,Collision Rate,Timeout Rate,Trajectory Efficiency,std_te
100,100.00,16.74,1.68,0.00,0.00,0.7487,0.1485
200,99.00,16.56,1.68,1.00,0.00,0.7675,0.0944
300,100.00,16.58,1.84,0.00,0.00,0.7229,0.1930
400,100.00,16.65,1.69,0.00,0.00,0.7376,0.1578
500,99.00,16.49,1.90,1.00,0.00,0.7410,0.1600
600,100.00,16.63,2.18,0.00,0.00,0.7345,0.1723
700,100.00,16.17,1.26,0.00,0.00,0.7712,0.1148
800,100.00,16.93,4.69,0.00,0.00,0.7321,0.1828
900,99.00,16.66,1.85,1.00,0.00,0.7413,0.1623
1000,100.00,16.40,1.46,0.00,0.00,0.7275,0.1829
1100,100.00,16.50,1.71,0.00,0.00,0.7328,0.1738
1200,100.00,16.46,1.50,0.00,0.00,0.7483,0.1431
1300,100.00,16.53,1.47,0.00,0.00,0.7593,0.1264
1400,99.00,16.50,1.53,1.00,0.00,0.7585,0.1344
1500,100.00,16.37,1.48,0.00,0.00,0.7262,0.1803
1600,100.00,16.52,1.59,0.00,0.00,0.7403,0.1564
1700,100.00,16.52,1.85,0.00,0.00,0.7509,0.1481
1800,100.00,16.48,1.57,0.00,0.00,0.7306,0.1816
1900,100.00,16.27,1.67,0.00,0.00,0.7585,0.1350
2000,100.00,16.71,1.84,0.00,0.00,0.7555,0.1334
2100,100.00,16.63,1.64,0.00,0.00,0.7410,0.1578
2200,100.00,16.95,2.22,0.00,0.00,0.7142,0.2009
2300,100.00,16.55,1.88,0.00,0.00,0.7497,0.1461
2400,100.00,16.57,1.88,0.00,0.00,0.7615,0.1162
2500,100.00,16.30,1.64,0.00,0.00,0.7720,0.0986
