Episode,Success Rate,Average Arrival time,std_at,Collision Rate,Timeout Rate,Trajectory Efficiency,std_te
20,100.00,16.48,1.71,0.00,0.00,0.7604,0.0480
40,100.00,16.45,1.23,0.00,0.00,0.7604,0.0247
60,100.00,16.63,1.79,0.00,0.00,0.7570,0.1488
80,100.00,16.66,2.10,0.00,0.00,0.7965,0.0425
100,100.00,16.25,1.12,0.00,0.00,0.7790,0.1522
120,100.00,17.52,2.14,0.00,0.00,0.7588,0.1488
140,100.00,16.91,3.00,0.00,0.00,0.7727,0.1498
160,100.00,17.30,2.57,0.00,0.00,0.7776,0.1498
180,100.00,18.86,5.15,0.00,0.00,0.8212,0.0291
200,100.00,16.19,1.27,0.00,0.00,0.7256,0.1495
220,100.00,16.53,1.16,0.00,0.00,0.7628,0.0277
240,100.00,16.06,1.32,0.00,0.00,0.7520,0.1496
260,100.00,16.74,1.73,0.00,0.00,0.7916,0.0306
280,100.00,17.11,2.15,0.00,0.00,0.7702,0.1555
300,100.00,17.51,5.91,0.00,0.00,0.7393,0.2013
320,100.00,17.86,2.51,0.00,0.00,0.8039,0.0274
340,100.00,17.21,1.85,0.00,0.00,0.7814,0.1458
360,100.00,17.89,1.72,0.00,0.00,0.7476,0.2061
380,100.00,16.60,1.27,0.00,0.00,0.7412,0.0290
400,100.00,16.45,1.04,0.00,0.00,0.7258,0.1344
420,100.00,16.76,1.82,0.00,0.00,0.6963,0.1929
440,100.00,16.37,1.84,0.00,0.00,0.7765,0.0303
460,100.00,17.67,2.78,0.00,0.00,0.7439,0.1405
480,100.00,17.22,1.23,0.00,0.00,0.7946,0.0257
500,100.00,17.42,1.72,0.00,0.00,0.8018,0.0164
520,100.00,17.94,1.94,0.00,0.00,0.7317,0.2051
540,100.00,18.66,2.83,0.00,0.00,0.7006,0.2403
560,100.00,16.69,2.04,0.00,0.00,0.7322,0.0388
580,100.00,16.34,2.07,0.00,0.00,0.7213,0.1447
600,100.00,17.39,2.20,0.00,0.00,0.7592,0.0238
620,100.00,17.33,3.03,0.00,0.00,0.7404,0.1427
640,90.00,18.15,2.03,10.00,0.00,0.7678,0.0374
660,100.00,17.76,2.52,0.00,0.00,0.7550,0.1482
680,100.00,17.37,2.08,0.00,0.00,0.8007,0.0297
700,100.00,17.94,2.90,0.00,0.00,0.8009,0.0247
720,75.00,18.83,2.68,25.00,0.00,0.6955,0.2354
740,20.00,14.31,0.55,80.00,0.00,0.7671,0.0175
760,20.00,14.25,0.60,80.00,0.00,0.7727,0.0190
780,20.00,13.66,0.76,80.00,0.00,0.8015,0.0300
800,5.00,13.35,0.00,95.00,0.00,0.8634,0.0000
820,0.00,nan,nan,100.00,0.00,nan,nan
840,0.00,nan,nan,100.00,0.00,nan,nan
860,0.00,nan,nan,100.00,0.00,nan,nan
880,0.00,nan,nan,100.00,0.00,nan,nan
900,0.00,nan,nan,100.00,0.00,nan,nan
920,0.00,nan,nan,100.00,0.00,nan,nan
940,0.00,nan,nan,100.00,0.00,nan,nan
960,0.00,nan,nan,100.00,0.00,nan,nan
980,0.00,nan,nan,100.00,0.00,nan,nan
1000,0.00,nan,nan,100.00,0.00,nan,nan
1020,0.00,nan,nan,100.00,0.00,nan,nan
1040,0.00,nan,nan,100.00,0.00,nan,nan
1060,0.00,nan,nan,100.00,0.00,nan,nan
1080,0.00,nan,nan,100.00,0.00,nan,nan
1100,0.00,nan,nan,100.00,0.00,nan,nan
1120,0.00,nan,nan,100.00,0.00,nan,nan
1140,0.00,nan,nan,100.00,0.00,nan,nan
1160,0.00,nan,nan,100.00,0.00,nan,nan
1180,0.00,nan,nan,100.00,0.00,nan,nan
1200,0.00,nan,nan,100.00,0.00,nan,nan
1220,0.00,nan,nan,100.00,0.00,nan,nan
1240,0.00,nan,nan,100.00,0.00,nan,nan
1260,0.00,nan,nan,100.00,0.00,nan,nan
1280,0.00,nan,nan,100.00,0.00,nan,nan
1300,0.00,nan,nan,100.00,0.00,nan,nan
1320,0.00,nan,nan,100.00,0.00,nan,nan
1340,0.00,nan,nan,100.00,0.00,nan,nan
1360,0.00,nan,nan,100.00,0.00,nan,nan
1380,0.00,nan,nan,100.00,0.00,nan,nan
1400,0.00,nan,nan,100.00,0.00,nan,nan
1420,0.00,nan,nan,100.00,0.00,nan,nan
1440,0.00,nan,nan,100.00,0.00,nan,nan
1460,0.00,nan,nan,100.00,0.00,nan,nan
1480,0.00,nan,nan,100.00,0.00,nan,nan
1500,0.00,nan,nan,100.00,0.00,nan,nan
1520,0.00,nan,nan,100.00,0.00,nan,nan
1540,0.00,nan,nan,100.00,0.00,nan,nan
