Episode,Success Rate,Average Arrival time,std_at,Collision Rate,Timeout Rate,Trajectory Efficiency,std_te
20,60.00,16.62,1.15,40.00,0.00,0.7750,0.0413
40,70.00,16.15,2.57,30.00,0.00,0.8146,0.0360
60,85.00,15.82,1.63,15.00,0.00,0.8070,0.0481
80,90.00,15.96,1.71,10.00,0.00,0.7982,0.0500
100,75.00,15.20,1.07,25.00,0.00,0.8416,0.0321
120,95.00,15.93,1.41,5.00,0.00,0.8299,0.0326
140,80.00,15.63,2.17,20.00,0.00,0.8541,0.0381
160,95.00,15.81,1.05,5.00,0.00,0.8408,0.0283
180,65.00,16.05,1.63,35.00,0.00,0.8314,0.0376
200,60.00,16.97,2.96,35.00,5.00,0.7570,0.1101
220,75.00,16.04,1.51,25.00,0.00,0.7819,0.0589
240,80.00,16.19,1.88,20.00,0.00,0.7809,0.0766
260,70.00,15.43,1.43,30.00,0.00,0.8082,0.0532
280,75.00,14.90,1.54,25.00,0.00,0.8409,0.0368
300,85.00,15.21,1.29,15.00,0.00,0.8235,0.0441
320,80.00,15.39,1.06,20.00,0.00,0.8299,0.0457
340,95.00,15.23,1.32,5.00,0.00,0.8265,0.0406
360,65.00,14.94,1.22,35.00,0.00,0.8470,0.0320
380,55.00,14.93,0.51,45.00,0.00,0.8337,0.0279
400,80.00,15.55,1.71,20.00,0.00,0.7956,0.0593
420,60.00,16.34,2.21,40.00,0.00,0.7700,0.0911
440,60.00,14.95,1.19,40.00,0.00,0.8289,0.0451
460,75.00,15.26,1.08,25.00,0.00,0.8173,0.0538
480,75.00,14.99,0.58,25.00,0.00,0.8332,0.0293
500,90.00,16.42,1.38,10.00,0.00,0.7787,0.0302
520,90.00,15.73,1.12,10.00,0.00,0.8088,0.0432
540,70.00,15.63,1.61,30.00,0.00,0.8111,0.0543
560,75.00,16.71,2.02,25.00,0.00,0.7664,0.0651
580,60.00,17.71,2.60,40.00,0.00,0.7431,0.0887
600,65.00,16.25,1.64,35.00,0.00,0.7894,0.0536
620,50.00,16.02,1.13,45.00,5.00,0.7801,0.0294
640,65.00,16.89,1.05,25.00,10.00,0.7722,0.0499
660,55.00,17.29,1.63,45.00,0.00,0.7652,0.0391
680,65.00,17.81,1.40,35.00,0.00,0.7476,0.0272
700,35.00,18.64,2.65,65.00,0.00,0.7156,0.0862
720,55.00,18.06,2.23,45.00,0.00,0.7560,0.0541
740,0.00,nan,nan,80.00,20.00,nan,nan
760,5.00,14.80,0.00,75.00,20.00,0.7075,0.0000
780,0.00,nan,nan,65.00,35.00,nan,nan
800,10.00,14.85,0.75,60.00,30.00,0.7353,0.0018
820,5.00,14.20,0.00,80.00,15.00,0.7524,0.0000
840,0.00,nan,nan,75.00,25.00,nan,nan
860,0.00,nan,nan,80.00,20.00,nan,nan
880,0.00,nan,nan,60.00,40.00,nan,nan
900,0.00,nan,nan,80.00,20.00,nan,nan
920,0.00,nan,nan,100.00,0.00,nan,nan
940,0.00,nan,nan,100.00,0.00,nan,nan
960,0.00,nan,nan,100.00,0.00,nan,nan
980,0.00,nan,nan,100.00,0.00,nan,nan
1000,0.00,nan,nan,100.00,0.00,nan,nan
1020,0.00,nan,nan,100.00,0.00,nan,nan
1040,0.00,nan,nan,100.00,0.00,nan,nan
1060,0.00,nan,nan,100.00,0.00,nan,nan
1080,0.00,nan,nan,100.00,0.00,nan,nan
1100,0.00,nan,nan,100.00,0.00,nan,nan
1120,0.00,nan,nan,100.00,0.00,nan,nan
1140,0.00,nan,nan,100.00,0.00,nan,nan
1160,0.00,nan,nan,100.00,0.00,nan,nan
1180,0.00,nan,nan,100.00,0.00,nan,nan
1200,0.00,nan,nan,100.00,0.00,nan,nan
1220,0.00,nan,nan,100.00,0.00,nan,nan
1240,0.00,nan,nan,100.00,0.00,nan,nan
1260,0.00,nan,nan,100.00,0.00,nan,nan
1280,0.00,nan,nan,100.00,0.00,nan,nan
1300,0.00,nan,nan,100.00,0.00,nan,nan
1320,0.00,nan,nan,100.00,0.00,nan,nan
1340,0.00,nan,nan,100.00,0.00,nan,nan
1360,0.00,nan,nan,100.00,0.00,nan,nan
1380,0.00,nan,nan,100.00,0.00,nan,nan
1400,0.00,nan,nan,100.00,0.00,nan,nan
1420,0.00,nan,nan,100.00,0.00,nan,nan
1440,0.00,nan,nan,100.00,0.00,nan,nan
1460,0.00,nan,nan,100.00,0.00,nan,nan
1480,0.00,nan,nan,100.00,0.00,nan,nan
1500,0.00,nan,nan,100.00,0.00,nan,nan
1520,0.00,nan,nan,100.00,0.00,nan,nan
1540,0.00,nan,nan,100.00,0.00,nan,nan
1560,0.00,nan,nan,100.00,0.00,nan,nan
1580,0.00,nan,nan,100.00,0.00,nan,nan
1600,0.00,nan,nan,100.00,0.00,nan,nan
1620,0.00,nan,nan,100.00,0.00,nan,nan
