time,ID,x,y
0.4,0,0.00,0.00
0.9,0,-0.00,0.11
1.5,0,0.00,0.37
2.0,0,0.08,0.67
2.6,0,0.26,0.98
3.1,0,0.46,1.27
3.7,0,0.62,1.58
4.2,0,0.72,1.91
4.7,0,0.74,2.26
5.3,0,0.66,2.60
5.8,0,0.49,2.91
6.4,0,0.25,3.18
6.9,0,-0.01,3.41
0.1,0,-0.13,0.02
0.7,0,-0.27,0.10
1.2,0,-0.50,0.27
1.7,0,-0.81,0.42
2.3,0,-1.09,0.59
2.8,0,-1.40,0.80
3.4,0,-1.72,0.94
3.9,0,-2.07,0.97
4.4,0,-2.40,0.92
5.0,0,-2.71,0.76
5.5,0,-2.98,0.53
6.1,0,-3.20,0.26
6.6,0,-3.41,-0.02
7.2,0,-3.64,-0.27
0.1,0,-0.01,-0.09
0.6,0,-0.02,-0.18
1.2,0,-0.03,-0.43
1.7,0,-0.13,-0.75
2.3,0,-0.33,-1.05
2.8,0,-0.52,-1.34
3.4,0,-0.67,-1.66
3.9,0,-0.76,-2.00
4.5,0,-0.76,-2.35
5.0,0,-0.67,-2.70
5.6,0,-0.49,-2.99
6.1,0,-0.25,-3.25
6.7,0,0.01,-3.49
0.1,0,0.14,0.00
0.7,0,0.27,-0.01
1.2,0,0.54,-0.06
1.7,0,0.84,-0.18
2.3,0,1.13,-0.37
2.8,0,1.40,-0.59
3.4,0,1.71,-0.78
3.9,0,2.05,-0.86
4.5,0,2.39,-0.84
5.0,0,2.72,-0.72
5.5,0,3.00,-0.52
6.1,0,3.24,-0.27
6.6,0,3.47,0.00
0.1,0,0.00,0.08
0.7,0,0.00,0.17
1.2,0,0.01,0.41
1.7,0,0.08,0.71
2.3,0,0.23,1.02
2.8,0,0.43,1.30
3.4,0,0.62,1.59
3.9,0,0.75,1.93
4.5,0,0.80,2.27
5.0,0,0.75,2.61
5.6,0,0.59,2.94
6.1,0,0.38,3.21
6.6,0,0.13,3.46
0.1,0,-0.09,-0.00
0.6,0,-0.19,-0.01
1.2,0,-0.42,-0.06
1.7,0,-0.70,-0.05
2.3,0,-1.01,0.04
2.8,0,-1.31,0.22
3.3,0,-1.56,0.47
3.9,0,-1.83,0.69
4.4,0,-2.16,0.83
5.0,0,-2.51,0.85
5.6,0,-2.85,0.75
6.1,0,-3.14,0.56
6.6,0,-3.38,0.31
0.1,0,-0.01,-0.13
0.6,0,-0.06,-0.24
1.2,0,-0.20,-0.46
1.7,0,-0.36,-0.75
2.3,0,-0.50,-1.08
2.8,0,-0.67,-1.38
3.4,0,-0.82,-1.71
3.9,0,-0.89,-2.05
4.5,0,-0.86,-2.41
5.0,0,-0.76,-2.74
5.5,0,-0.57,-3.04
6.1,0,-0.31,-3.29
6.6,0,-0.05,-3.51
0.1,0,0.10,-0.00
0.7,0,0.21,-0.03
1.2,0,0.45,-0.14
1.7,0,0.76,-0.28
2.3,0,1.06,-0.46
2.8,0,1.35,-0.65
3.4,0,1.66,-0.82
3.9,0,2.00,-0.90
4.5,0,2.34,-0.89
5.0,0,2.68,-0.79
5.6,0,2.99,-0.61
6.1,0,3.24,-0.36
6.7,0,3.47,-0.09
0.1,0,0.00,0.09
0.1,0,-0.03,0.00
0.7,0,-0.15,0.01
1.2,0,-0.41,0.04
1.8,0,-0.74,0.16
2.3,0,-1.01,0.32
2.9,0,-1.32,0.51
3.4,0,-1.62,0.69
3.9,0,-1.95,0.79
4.5,0,-2.29,0.80
5.0,0,-2.63,0.71
5.5,0,-2.93,0.54
6.1,0,-3.20,0.32
6.6,0,-3.44,0.06
0.1,0,0.01,-0.12
0.6,0,0.03,-0.23
1.2,0,0.08,-0.48
1.7,0,0.06,-0.78
2.3,0,-0.06,-1.10
2.8,0,-0.26,-1.39
3.4,0,-0.49,-1.64
3.9,0,-0.74,-1.88
4.5,0,-0.91,-2.20
5.0,0,-0.96,-2.55
5.6,0,-0.90,-2.90
6.1,0,-0.73,-3.21
6.7,0,-0.49,-3.46
7.2,0,-0.22,-3.68
0.1,0,0.08,-0.00
0.7,0,0.21,-0.01
1.2,0,0.47,-0.06
1.7,0,0.77,-0.15
2.3,0,1.08,-0.32
2.8,0,1.37,-0.49
3.4,0,1.67,-0.66
3.9,0,2.02,-0.76
4.5,0,2.36,-0.76
5.0,0,2.70,-0.66
5.5,0,3.00,-0.48
6.1,0,3.25,-0.24
6.6,0,3.50,0.03
0.1,0,0.00,0.10
0.6,0,0.03,0.23
1.2,0,0.09,0.50
1.7,0,0.24,0.81
2.3,0,0.45,1.09
2.8,0,0.63,1.40
3.4,0,0.75,1.73
3.9,0,0.80,2.08
4.5,0,0.75,2.42
5.0,0,0.62,2.75
5.6,0,0.41,3.05
6.1,0,0.16,3.29
6.7,0,-0.10,3.52
0.1,0,-0.00,-0.00
0.7,0,-0.01,-0.11
1.2,0,-0.04,-0.37
1.8,0,-0.18,-0.69
2.3,0,-0.41,-0.98
2.8,0,-0.63,-1.25
3.4,0,-0.85,-1.52
4.0,0,-1.00,-1.87
4.5,0,-1.03,-2.21
5.1,0,-0.97,-2.56
5.6,0,-0.83,-2.87
6.2,0,-0.61,-3.14
6.7,0,-0.33,-3.36
7.2,0,-0.04,-3.57
0.1,0,0.14,-0.01
0.7,0,0.26,-0.04
1.2,0,0.51,-0.17
1.7,0,0.82,-0.31
2.3,0,1.13,-0.49
2.8,0,1.42,-0.70
3.4,0,1.73,-0.85
3.9,0,2.08,-0.92
4.5,0,2.43,-0.92
5.0,0,2.77,-0.81
5.6,0,3.06,-0.62
6.1,0,3.30,-0.36
6.7,0,3.52,-0.08
0.1,0,0.00,0.08
0.7,0,0.00,0.19
1.2,0,0.01,0.44
1.8,0,0.08,0.76
2.3,0,0.24,1.06
2.8,0,0.43,1.34
3.4,0,0.65,1.62
3.9,0,0.80,1.94
4.5,0,0.84,2.28
5.0,0,0.79,2.63
5.6,0,0.66,2.95
6.1,0,0.43,3.24
6.7,0,0.18,3.48
0.1,0,-0.09,-0.00
0.6,0,-0.17,-0.01
1.2,0,-0.39,-0.04
1.7,0,-0.67,-0.03
2.3,0,-0.99,0.03
2.8,0,-1.28,0.17
3.4,0,-1.56,0.37
3.9,0,-1.86,0.55
4.4,0,-2.17,0.70
5.0,0,-2.51,0.77
5.5,0,-2.85,0.72
6.1,0,-3.17,0.57
6.6,0,-3.44,0.36
0.1,0,0.00,-0.00
0.6,0,0.12,-0.00
1.2,0,0.37,-0.02
1.7,0,0.65,-0.07
2.3,0,0.96,-0.19
2.8,0,1.27,-0.37
3.4,0,1.57,-0.55
3.9,0,1.91,-0.69
4.5,0,2.25,-0.73
5.0,0,2.59,-0.68
5.6,0,2.91,-0.54
6.1,0,3.19,-0.32
6.7,0,3.43,-0.07
0.1,0,0.01,0.13
0.7,0,0.07,0.25
1.2,0,0.23,0.48
1.7,0,0.39,0.77
2.3,0,0.54,1.09
2.8,0,0.72,1.38
3.4,0,0.88,1.69
3.9,0,0.93,2.03
4.5,0,0.89,2.39
5.0,0,0.76,2.71
5.6,0,0.54,2.99
6.1,0,0.27,3.22
6.7,0,-0.01,3.43
0.1,0,-0.11,0.02
0.7,0,-0.21,0.09
1.2,0,-0.39,0.30
1.7,0,-0.64,0.54
2.3,0,-0.96,0.69
2.8,0,-1.28,0.83
3.4,0,-1.60,0.96
3.9,0,-1.96,1.01
4.5,0,-2.30,1.00
5.0,0,-2.63,0.89
5.6,0,-2.92,0.69
6.1,0,-3.16,0.43
6.7,0,-3.37,0.15
7.2,0,-3.58,-0.15
0.1,0,-0.00,-0.10
0.7,0,-0.03,-0.20
1.2,0,-0.13,-0.44
1.7,0,-0.27,-0.76
2.3,0,-0.45,-1.05
2.8,0,-0.65,-1.33
3.4,0,-0.88,-1.61
3.9,0,-1.01,-1.93
4.5,0,-1.03,-2.28
5.0,0,-0.95,-2.63
5.5,0,-0.78,-2.92
6.1,0,-0.52,-3.17
6.6,0,-0.24,-3.38
0.1,0,0.09,0.00
0.7,0,0.20,0.03
1.2,0,0.43,0.12
1.8,0,0.70,0.16
2.3,0,1.01,0.14
2.9,0,1.34,0.02
3.4,0,1.63,-0.16
3.9,0,1.86,-0.40
4.5,0,2.10,-0.65
5.0,0,2.41,-0.84
5.6,0,2.75,-0.92
6.1,0,3.10,-0.89
6.7,0,3.42,-0.75
7.2,0,3.68,-0.53
0.1,0,-0.00,0.09
0.7,0,0.01,0.21
1.2,0,0.05,0.47
1.7,0,0.14,0.77
2.3,0,0.28,1.08
2.8,0,0.48,1.37
3.4,0,0.64,1.67
3.9,0,0.74,2.02
4.5,0,0.73,2.37
5.0,0,0.62,2.71
5.6,0,0.42,3.00
6.1,0,0.17,3.25
6.7,0,-0.09,3.48
0.1,0,-0.08,0.00
0.7,0,-0.20,0.00
1.2,0,-0.47,0.02
1.7,0,-0.78,0.12
2.3,0,-1.09,0.30
2.8,0,-1.35,0.53
3.4,0,-1.62,0.75
3.9,0,-1.95,0.89
4.5,0,-2.29,0.93
5.0,0,-2.64,0.87
5.6,0,-2.96,0.71
6.1,0,-3.22,0.48
6.7,0,-3.44,0.21
0.1,0,0.00,-0.09
0.6,0,0.02,-0.22
1.2,0,0.06,-0.47
1.7,0,0.05,-0.75
2.3,0,-0.06,-1.08
2.8,0,-0.27,-1.35
3.4,0,-0.51,-1.62
3.9,0,-0.72,-1.90
4.5,0,-0.86,-2.22
5.0,0,-0.91,-2.57
5.6,0,-0.85,-2.91
6.1,0,-0.68,-3.22
0.1,0,0.09,0.00
0.7,0,0.19,-0.00
1.2,0,0.44,-0.03
1.8,0,0.74,-0.09
2.3,0,1.05,-0.22
2.9,0,1.34,-0.40
3.4,0,1.63,-0.60
3.9,0,1.96,-0.74
4.5,0,2.30,-0.77
5.0,0,2.64,-0.69
5.6,0,2.96,-0.53
6.1,0,3.23,-0.31
6.7,0,3.48,-0.05
0.1,0,0.00,0.08
