Episode,Success Rate,Average Arrival time,Standard Deviation,Collision Rate,Timeout Rate
100,99.00,5.95,0.08,1.00,0.00
200,100.00,5.97,0.07,0.00,0.00
300,100.00,5.99,0.07,0.00,0.00
400,100.00,6.01,0.08,0.00,0.00
500,100.00,6.02,0.07,0.00,0.00
600,100.00,6.04,0.06,0.00,0.00
700,100.00,6.05,0.07,0.00,0.00
800,100.00,6.05,0.07,0.00,0.00
900,100.00,6.06,0.06,0.00,0.00
1000,100.00,6.06,0.06,0.00,0.00
1100,100.00,6.06,0.06,0.00,0.00
1200,100.00,6.06,0.05,0.00,0.00
1300,100.00,6.07,0.07,0.00,0.00
1400,100.00,6.06,0.06,0.00,0.00
1500,100.00,6.07,0.05,0.00,0.00
1600,100.00,6.07,0.06,0.00,0.00
1700,100.00,6.07,0.06,0.00,0.00
1800,100.00,6.08,0.06,0.00,0.00
1900,100.00,6.07,0.05,0.00,0.00
2000,100.00,6.08,0.07,0.00,0.00
2100,100.00,6.08,0.06,0.00,0.00
2200,100.00,6.08,0.06,0.00,0.00
2300,100.00,6.08,0.06,0.00,0.00
2400,100.00,6.06,0.06,0.00,0.00
2500,100.00,6.08,0.06,0.00,0.00
2600,100.00,6.06,0.05,0.00,0.00
2700,100.00,6.08,0.06,0.00,0.00
2800,100.00,6.08,0.06,0.00,0.00
2900,100.00,6.07,0.05,0.00,0.00
3000,100.00,6.07,0.06,0.00,0.00
3100,100.00,6.08,0.06,0.00,0.00
3200,100.00,6.08,0.06,0.00,0.00
3300,100.00,6.07,0.06,0.00,0.00
3400,100.00,6.08,0.06,0.00,0.00
3500,100.00,6.08,0.05,0.00,0.00
3600,100.00,6.08,0.06,0.00,0.00
3700,100.00,6.08,0.06,0.00,0.00
3800,100.00,6.06,0.06,0.00,0.00
3900,100.00,6.08,0.06,0.00,0.00
4000,100.00,6.09,0.06,0.00,0.00
4100,100.00,6.08,0.06,0.00,0.00
4200,100.00,6.07,0.05,0.00,0.00
4300,100.00,6.07,0.06,0.00,0.00
4400,100.00,6.07,0.06,0.00,0.00
4500,100.00,6.07,0.05,0.00,0.00
4600,100.00,6.07,0.06,0.00,0.00
4700,100.00,6.07,0.06,0.00,0.00
4800,100.00,6.08,0.06,0.00,0.00
