Episode,Average Reward
0,0.20
5,-0.39
10,3.71
15,-0.56
20,-0.12
25,0.69
30,-0.06
35,-0.06
40,0.37
45,0.02
50,0.04
55,-0.05
60,-0.16
65,-0.14
70,-0.10
75,-0.08
80,-0.04
85,0.01
90,-0.08
95,-0.07
100,-0.03
105,-0.05
110,-0.07
115,-0.01
120,-0.02
125,-0.15
130,-0.08
135,-0.34
140,-0.54
145,0.02
150,-0.11
155,-0.09
160,-0.08
165,-0.15
170,-0.13
175,1.58
180,0.74
185,0.19
190,1.93
195,1.31
200,1.74
205,1.79
210,1.92
215,3.45
220,2.41
225,2.90
230,3.39
235,3.84
240,1.89
245,2.40
250,0.95
255,3.89
260,3.86
265,1.83
270,0.40
275,2.41
280,2.95
285,-0.08
290,1.85
295,2.87
300,2.25
305,3.76
310,3.76
315,3.84
320,3.94
325,3.95
330,3.82
335,3.78
340,1.14
345,0.73
350,0.88
355,1.32
360,3.96
365,1.96
370,2.97
375,0.90
380,0.84
385,3.92
390,3.95
395,1.99
400,2.96
405,3.95
410,-0.02
415,2.45
420,1.93
425,3.96
430,2.88
435,3.94
440,0.88
445,1.99
450,2.46
455,3.86
460,3.46
465,1.94
470,1.92
475,3.93
480,1.93
485,3.98
490,3.95
495,3.44
500,1.90
505,0.34
510,3.87
515,3.95
520,3.94
525,3.98
530,3.99
535,3.94
540,4.96
545,3.99
550,3.45
555,2.88
560,0.48
565,1.92
570,3.95
575,3.98
580,3.93
585,1.91
590,4.00
595,3.98
600,4.00
605,3.97
610,3.93
615,3.99
620,4.00
625,3.95
630,4.00
635,3.97
640,4.02
645,4.03
650,3.97
655,1.97
660,4.01
665,3.97
670,3.92
675,4.01
680,3.99
685,3.95
690,4.08
695,4.03
700,4.00
705,4.03
710,4.00
715,3.98
720,4.02
725,4.04
730,4.01
735,4.06
740,4.07
745,4.10
750,3.99
755,4.00
760,4.07
765,3.98
770,1.90
775,3.99
780,3.94
785,2.02
790,3.95
795,3.84
800,4.07
805,2.47
810,4.02
815,4.04
820,4.01
825,4.02
830,4.03
835,4.04
840,4.00
845,3.98
850,4.05
855,4.96
860,4.05
865,4.06
870,3.94
875,4.09
880,4.06
885,4.10
890,4.06
895,1.96
900,4.07
905,4.00
910,3.98
915,4.00
920,4.00
925,4.04
930,4.08
935,2.54
940,4.04
945,4.05
950,0.95
955,2.06
960,4.10
965,4.03
970,4.08
975,2.95
980,4.05
985,2.98
990,3.99
995,4.05
1000,4.07
1005,4.00
1010,4.01
1015,4.12
1020,4.03
1025,4.10
1030,4.04
1035,2.52
1040,4.01
1045,4.07
1050,4.04
1055,4.07
1060,4.08
1065,4.06
1070,3.95
1075,4.05
1080,4.01
1085,4.04
1090,4.04
1095,4.03
1100,3.93
1105,4.07
1110,4.05
1115,4.04
1120,4.05
1125,4.03
1130,4.03
1135,4.06
1140,4.00
1145,3.93
1150,4.00
1155,4.11
1160,3.97
1165,4.03
1170,2.03
1175,4.04
1180,4.04
1185,4.04
1190,4.02
1195,3.99
1200,4.08
1205,4.11
1210,4.03
1215,4.05
1220,4.07
1225,4.08
1230,2.92
1235,4.02
1240,4.08
1245,4.02
1250,4.00
1255,4.06
1260,4.05
1265,4.05
1270,4.02
1275,4.06
1280,3.97
1285,4.05
1290,4.02
1295,4.02
1300,4.05
1305,4.09
1310,4.08
1315,4.09
1320,4.08
1325,4.10
1330,4.07
1335,4.07
1340,4.09
1345,4.09
1350,-0.61
1355,4.08
1360,2.05
1365,4.03
1370,4.00
1375,4.03
1380,3.98
1385,3.94
1390,4.03
1395,4.01
1400,2.94
1405,4.01
1410,4.01
1415,4.04
1420,4.09
1425,4.06
1430,4.06
1435,4.03
1440,4.03
1445,2.02
1450,4.05
1455,4.04
1460,4.07
1465,4.03
1470,4.03
1475,4.01
1480,4.05
1485,4.06
1490,4.07
1495,4.11
