Episode,Average Reward
0,-0.72
5,-1.05
10,0.10
15,4.23
20,-0.22
25,-1.88
30,-0.87
35,-1.49
40,0.03
45,0.68
50,0.00
55,-0.36
60,-0.32
65,-0.30
70,-0.56
75,1.07
80,1.97
85,0.72
90,3.38
95,2.16
100,2.30
105,2.50
110,-0.24
115,0.49
120,0.04
125,-1.03
130,-1.48
135,-1.79
140,-0.82
145,-0.03
150,-0.43
155,-0.22
160,-0.99
165,-1.07
170,0.37
175,1.27
180,-0.03
185,0.31
190,-0.59
195,1.39
200,0.46
205,0.69
210,1.32
215,-0.90
220,-1.01
225,2.63
230,0.21
235,-0.10
240,0.57
245,-1.15
250,1.39
255,1.18
260,-0.07
265,1.13
270,2.04
275,0.13
280,1.39
285,2.59
290,2.90
295,-0.34
300,4.23
305,4.28
310,4.26
315,3.74
320,4.19
325,4.22
330,4.19
335,4.32
340,4.26
345,4.21
350,4.21
355,4.16
360,4.21
365,3.02
370,0.39
375,2.69
380,3.49
385,4.26
390,4.16
395,4.27
400,4.22
405,4.21
410,4.27
415,3.75
420,4.24
425,3.55
430,4.08
435,4.15
440,4.20
445,4.17
450,0.60
455,2.96
460,-0.15
465,-1.15
470,-0.21
475,3.58
480,2.58
485,2.72
490,4.10
495,0.13
500,2.11
505,2.08
510,2.93
515,4.13
520,4.04
525,4.11
530,4.08
535,2.80
540,1.88
545,1.88
550,-1.40
555,0.67
560,1.90
565,0.41
570,1.64
575,0.38
580,1.40
585,-1.66
590,0.48
595,-0.57
600,-0.11
605,-1.10
610,3.02
615,4.22
620,0.56
625,-0.66
630,0.34
635,2.95
640,3.71
645,-0.09
650,2.68
655,0.92
660,1.11
665,1.40
670,1.71
675,0.34
680,-0.11
685,1.67
690,0.08
695,-0.59
