Episode,Average Reward
0,-1.03
5,-1.10
10,0.38
15,2.85
20,1.53
25,3.09
30,1.12
35,0.73
40,2.05
45,2.00
50,3.63
55,3.26
60,4.62
65,3.49
70,3.53
75,2.24
80,4.66
85,4.64
90,4.56
95,3.68
100,4.56
105,4.63
110,4.52
115,4.68
120,4.59
125,4.59
130,4.70
135,4.68
140,4.59
145,4.29
150,4.67
155,4.63
160,4.66
165,4.61
170,4.70
175,4.70
180,4.62
185,4.64
190,4.67
195,4.63
200,4.59
205,4.79
210,4.71
215,4.60
220,4.52
225,4.58
230,4.60
235,4.65
240,4.54
245,4.58
250,4.66
255,4.72
260,4.73
265,4.65
270,4.56
275,4.61
280,4.51
285,4.65
290,4.55
295,4.60
300,4.69
305,4.66
310,4.50
315,4.64
320,4.54
325,3.51
330,4.60
335,4.58
340,4.72
345,4.59
350,4.52
355,4.51
360,4.67
365,4.63
370,4.56
375,4.67
380,4.62
385,4.61
390,4.61
395,4.63
